genre,type,rating
Drama,Movie,8.27
Drama,TV,8.19
Fantasy,Movie,8.1
Drama,Special,8.05
Music,Music,8
Music,Special,7.92
Drama,OVA,7.88
Comedy,Special,7.88
Drama,TV,7.85
Action,Movie,7.83
Comedy,Special,7.78
Drama,TV,7.74
Mystery,TV,7.7
Mystery,Movie,7.69
Comedy,Special,7.62
Music,Music,7.61
Fantasy,Movie,7.6
Dementia,Movie,7.59
Comedy,Special,7.59
Music,Music,7.59
Music,Music,7.56
Comedy,Movie,7.56
Martial Arts,Movie,7.55
Comedy,TV,7.55
Fantasy,Special,7.52
Fantasy,Movie,7.51
Comedy,Special,7.51
Comedy,Movie,7.5
Comedy,TV,7.5
Sci-Fi,Special,7.5
Comedy,OVA,7.5
Sci-Fi,OVA,7.49
Comedy,Special,7.49
Mystery,TV,7.49
Adventure,Movie,7.49
Ecchi,Special,7.47
Music,Music,7.47
Comedy,Movie,7.46
Sports,TV,7.46
Drama,Special,7.45
Comedy,ONA,7.45
Comedy,Special,7.44
Comedy,TV,7.43
Music,Special,7.43
Slice of Life,OVA,7.43
Music,Music,7.43
Drama,Movie,7.42
Kids,Movie,7.42
Comedy,Special,7.41
Comedy,TV,7.41
Adventure,Movie,7.4
Music,Music,7.4
Fantasy,Movie,7.39
Drama,Movie,7.38
Fantasy,Movie,7.38
Magic,Movie,7.38
Drama,ONA,7.38
Comedy,TV,7.37
Comedy,Movie,7.37
Comedy,Special,7.37
Music,Music,7.35
Comedy,TV,7.36
School,Special,7.35
Comedy,Special,7.35
Music,Music,7.34
Romance,Special,7.33
Music,Music,7.33
Fantasy,Movie,7.33
Comedy,Special,7.33
Music,Music,7.33
Adventure,Movie,7.32
Music,Music,7.32
Music,Music,7.29
Adventure,Special,7.29
Mystery,Special,7.29
Sports,ONA,7.28
Comedy,Special,7.28
Comedy,TV,7.28
Sports,Special,7.27
Music,Music,7.27
Kids,TV,7.26
Fantasy,Movie,7.26
Comedy,Special,7.25
Adventure,TV,7.26
Comedy,Special,7.26
Adventure,TV,7.25
Comedy,Special,7.25
Comedy,Special,7.23
Comedy,Special,7.23
Comedy,Special,7.22
Shoujo,Special,7.22
Comedy,TV,7.22
Comedy,TV,7.22
Comedy,Special,7.21
Music,Music,7.21
Music,Music,7.2
Slice of Life,Special,7.2
Adventure,Special,7.19
Comedy,Special,7.19
Comedy,Special,7.19
Action,ONA,7.18
Drama,Special,7.18
Comedy,Special,7.17
Game,TV,7.17
Comedy,Special,7.16
Fantasy,OVA,7.15
Hentai,Special,7.15
Music,Music,7.15
Comedy,TV,7.14
Adventure,TV,7.14
Comedy,Special,7.14
Comedy,Special,7.13
Comedy,Special,7.13
Comedy,Special,7.13
Comedy,TV,7.12
Comedy,Special,7.12
Slice of Life,TV,7.11
Music,Music,7.11
Ecchi,Special,7.09
Music,Music,7.09
Adventure,TV,7.09
Romance,Special,7.09
Music,Music,7.09
Fantasy,Special,7.09
Fantasy,Movie,7.09
Historical,TV,7.07
Action,TV,7.07
Music,Music,7.06
Comedy,TV,7.06
Comedy,Special,7.06
Music,Music,7.06
Music,Music,7.06
Comedy,Special,7.05
Music,Music,7.05
Comedy,TV,7.04
Comedy,TV,7.04
Music,ONA,7.04
Sports,TV,7.04
Comedy,Special,7.02
Comedy,Special,7.02
Comedy,Movie,7.02
Comedy,TV,7.02
Historical,Special,7.02
Adventure,Movie,7.02
Action,Movie,7.01
Music,Special,7.01
Drama,OVA,7
Music,Music,6.99
Comedy,Special,6.99
Mecha,TV,6.99
Psychological,Movie,6.99
Comedy,TV,6.99
Fantasy,Movie,6.98
Game,TV,6.98
Historical,Movie,6.97
Comedy,ONA,6.97
Sci-Fi,Movie,6.97
Comedy,OVA,6.97
Sports,TV,6.96
Comedy,Special,6.96
Music,Music,6.96
Hentai,TV,6.96
Ecchi,Special,6.95
Sci-Fi,TV,6.94
Music,Music,6.94
Historical,Movie,6.94
Adventure,TV,6.94
Sports,TV,6.93
Action,OVA,6.93
Magic,Special,6.93
Comedy,TV,6.93
Comedy,TV,6.93
Adventure,TV,6.92
Action,OVA,6.92
Historical,Movie,6.92
Music,TV,6.92
Music,Music,6.91
Action,OVA,6.91
Music,Music,6.91
Fantasy,TV,6.91
Romance,OVA,6.91
Music,TV,6.9
Comedy,Special,6.9
