,anime_id,name,genre,type,episodes,members,rating
0,5365,Tsumiki no Ie,Drama,Movie,1,45189,8.27
1,6211,Tokyo Magnitude 8.0,Drama,TV,11,121349,8.19
2,7711,Karigurashi no Arrietty,Fantasy,Movie,1,97910,8.1
3,29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,Special,1,70039,8.05
4,17949,The Everlasting Guilty Crown,Music,Music,1,11663,8.0
5,30745,Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen - Yakusoku no Kizuna,Music,Special,1,10306,7.92
6,1520,Black Jack,Drama,OVA,12,14414,7.88
7,33994,Servamp Specials,Comedy,Special,3,5973,7.88
8,2405,Hello! Lady Lynn,Drama,TV,36,1757,7.85
9,33082,Kingsglaive: Final Fantasy XV,Action,Movie,1,15508,7.83
10,1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Comedy,Special,1,51688,7.78
11,2213,Black Jack (TV),Drama,TV,61,15552,7.74
12,10568,Kamisama no Memochou,Mystery,TV,12,130502,7.7
13,6172,Layton Kyouju to Eien no Utahime,Mystery,Movie,1,12867,7.69
14,2424,Cardcaptor Sakura Specials,Comedy,Special,3,18604,7.62
15,9930,Snow Halation,Music,Music,1,8731,7.61
16,5998,Hottarake no Shima: Haruka to Mahou no Kagami,Fantasy,Movie,1,6517,7.6
17,22419,Acchi Kocchi,Dementia,Movie,1,3433,7.59
18,9023,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Comedy,Special,3,12153,7.59
19,10445,Perfect Day,Music,Music,1,7743,7.59
20,6399,Higashi no Eden: Falling Down,Music,Music,1,9881,7.56
21,5710,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,Comedy,Movie,1,2048,7.56
22,5291,Hokuto no Ken Zero: Kenshirou Den,Martial Arts,Movie,1,4278,7.55
23,2518,Masuda Kousuke Gekijou Gag Manga Biyori 2,Comedy,TV,12,1846,7.55
24,24459,Tales of Zestiria: Doushi no Yoake,Fantasy,Special,1,23484,7.52
25,2672,Doraemon Movie 05: Nobita no Makai Daibouken,Fantasy,Movie,1,1321,7.51
26,2954,Maria-sama ga Miteru 3rd Specials,Comedy,Special,5,5072,7.51
27,9340,Cheburashka,Comedy,Movie,1,545,7.5
28,1684,Dotto Koni-chan,Comedy,TV,26,1397,7.5
29,13429,Sakasama no Patema: Beginning of the Day,Sci-Fi,Special,4,16933,7.5
30,5947,Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,Comedy,OVA,1,19219,7.5
31,3268,Mai-Otome 0: S.ifr,Sci-Fi,OVA,3,11171,7.49
32,6896,Pandora Hearts Specials,Comedy,Special,9,32103,7.49
33,30187,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,TV,12,99665,7.49
34,10629,Tibet Inu Monogatari,Adventure,Movie,1,2647,7.49
35,31324,Grisaia no Meikyuu Special,Ecchi,Special,1,16648,7.47
36,10050,Macross F Music Clip Shuu: Nyankuri,Music,Music,1,3010,7.47
37,1078,Cardcaptor Sakura: Leave It to Kero-chan,Comedy,Movie,1,20410,7.46
38,5273,Miracle Giants Doumu-kun,Sports,TV,49,680,7.46
39,1373,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,Drama,Special,4,3174,7.45
40,27957,Steins;Gate: Soumei Eichi no Cognitive Computing,Comedy,ONA,4,34426,7.45
41,8022,Tegamibachi Gakuen,Comedy,Special,25,6649,7.44
42,485,Damekko Doubutsu,Comedy,TV,26,8024,7.43
43,6401,ef: A Tale of Melodies. - Prologue,Music,Special,1,13745,7.43
44,13469,Hyouka: Motsubeki Mono wa,Slice of Life,OVA,1,68823,7.43
45,32953,Koi ni Naritai Aquarium,Music,Music,1,1683,7.43
46,1983,Black Jack: Futari no Kuroi Isha,Drama,Movie,1,2634,7.42
